N,delay,AvgRet,StdRet
1,0,5.8979554176330575,0.2505895495414734
1,5,2.847933292388916,0.16969028115272522
1,10,1.6194087266921997,0.149171382188797
1,15,1.0524297952651978,0.1261102557182312
1,20,0.7596228718757629,0.11545154452323915
1,25,0.5954848527908325,0.12005119770765305
1,30,0.5022156834602356,0.0983811467885971
1,35,0.4182707965373993,0.1074998676776886
1,40,0.3739301562309265,0.11916296184062958
1,45,0.34525570273399353,0.11800481379032135
1,50,0.3249879777431488,0.1016787216067314
2,0,3.727750301361084,0.1708976924419403
2,5,2.0618333816528316,0.11877448111772534
2,10,1.3062195777893066,0.09960930794477464
2,15,0.9148461818695068,0.09725645929574966
2,20,0.6973536014556885,0.09380758553743362
2,25,0.5604671239852905,0.07427781075239183
2,30,0.4802385270595551,0.08628639578819275
2,35,0.42313551902771,0.0892288088798523
2,40,0.3902080953121185,0.08334990590810776
2,45,0.3669776916503906,0.07855488359928131
2,50,0.3536241054534912,0.08437816798686981
4,0,2.590667486190796,0.0963650569319725
4,5,1.5429803133010864,0.08129198849201202
4,10,1.0284850597381592,0.0807318314909935
4,15,0.7528340220451355,0.07188834995031357
4,20,0.5929331779479979,0.06713879853487015
4,25,0.492982029914856,0.060258697718381875
4,30,0.4274225234985352,0.056328579783439636
4,35,0.3895836770534515,0.05362038314342499
4,40,0.3655531704425812,0.05630895867943764
4,45,0.3480244874954224,0.0523047037422657
4,50,0.3416728973388672,0.05787013098597527
8,0,1.9114387035369875,0.05886097252368928
8,5,1.2087315320968628,0.05296404659748077
8,10,0.8374634385108948,0.042748063802719116
8,15,0.6376734375953674,0.043930962681770325
8,20,0.5148959159851074,0.042563989758491516
8,25,0.4427123367786408,0.037622421979904175
8,30,0.3959346115589142,0.038612745702266686
8,35,0.36727237701416016,0.04031728580594063
8,40,0.35309508442878723,0.04234439507126808
8,45,0.34582364559173584,0.03896889835596085
8,50,0.3363712430000305,0.04377694800496101
16,0,1.4833021163940432,0.05089975520968437
16,5,0.9918376207351683,0.045830223709344864
16,10,0.71082603931427,0.04115491360425949
16,15,0.5517473816871643,0.03844542056322098
16,20,0.4625776708126068,0.038343418389558785
16,25,0.4088269770145416,0.0365421399474144
16,30,0.3764244318008423,0.033352993428707116
16,35,0.35547569394111633,0.030145099386572838
16,40,0.34787026047706604,0.03255721181631088
16,45,0.3417532742023468,0.03073132410645485
16,50,0.3397471904754639,0.030752912163734436
32,0,1.2169654369354248,0.02903497032821178
32,5,0.8549034595489502,0.03330682218074798
32,10,0.6294962763786316,0.02823781408369541
32,15,0.4976789057254791,0.029360260814428333
32,20,0.4214743673801422,0.02470419928431511
32,25,0.380037397146225,0.024403007701039314
32,30,0.354997456073761,0.024017395451664925
32,35,0.34476393461227417,0.023024002090096474
32,40,0.3386289477348328,0.02370975911617279
32,45,0.33721429109573364,0.023555144667625427
32,50,0.3415643572807312,0.02412987127900124
64,0,1.0549533367156982,0.023408709093928337
64,5,0.7674362063407898,0.021424699574708942
64,10,0.5758424997329712,0.02257324382662773
64,15,0.4612456858158112,0.022522713989019397
64,20,0.392516553401947,0.020058756694197655
64,25,0.3607451915740967,0.018283935263752937
64,30,0.3465067744255066,0.01886606961488724
64,35,0.34371277689933777,0.01844104938209057
64,40,0.3474694788455963,0.017170051112771034
64,45,0.3549297451972961,0.017862306907773018
64,50,0.3581995368003845,0.01906711235642433
