arch,N,AvgRet,StdRet,seed
ds,2,4.1571245193481445,0.15372031927108765,0
ds,2,4.121054172515868,0.14571982622146604,1
ds,2,4.155994415283203,0.151655375957489,2
ds,2,4.135061264038087,0.16424058377742767,3
ds,2,4.161266326904297,0.1478595733642578,4
ds,4,2.9989538192749023,0.09606906771659852,0
ds,4,2.9923927783966064,0.09703602641820908,1
ds,4,2.9940428733825684,0.09174239635467528,2
ds,4,2.9782841205596924,0.09952536225318907,3
ds,4,2.998704195022583,0.0946122333407402,4
ds,8,2.2293376922607417,0.06648682802915573,0
ds,8,2.226523876190185,0.06269095093011856,1
ds,8,2.216411590576172,0.060300514101982124,2
ds,8,2.2173385620117188,0.060484591871500015,3
ds,8,2.2050352096557617,0.06354021281003952,4
ds,16,1.694633722305298,0.0466785691678524,0
ds,16,1.7078187465667725,0.04408557713031769,1
ds,16,1.7005687952041626,0.0363500714302063,2
ds,16,1.705235719680786,0.04578109085559845,3
ds,16,1.7219631671905518,0.04576178267598152,4
ds,32,1.3800721168518066,0.036360103636980064,0
ds,32,1.3699495792388916,0.031230239197611805,1
ds,32,1.3808828592300415,0.029972564429044724,2
ds,32,1.380969762802124,0.03250383958220482,3
ds,32,1.3843061923980713,0.03010041825473309,4
ds,64,1.1405237913131714,0.01660446636378765,0
ds,64,1.149486780166626,0.02516914717853069,1
ds,64,1.1344282627105713,0.026182964444160458,2
ds,64,1.0988713502883911,0.02677262015640736,3
ds,64,1.1497513055801392,0.01978939399123192,4
ds,128,1.0012304782867432,0.01442217919975519,0
ds,128,0.9929904937744141,0.014950535260140898,1
ds,128,0.9906225204467772,0.012907710857689379,2
ds,128,0.9507874250411988,0.019353007897734642,3
ds,128,1.0062130689620972,0.005648554302752018,4
ds,256,0.940056562423706,0.011737341992557049,0
ds,256,0.9283117055892944,0.011405596509575844,1
ds,256,0.8923386335372925,0.013673245906829834,2
ds,256,0.8955837488174438,0.012173909693956377,3
ds,256,0.9519174695014954,0.008526965975761414,4
ds,512,0.9069764614105223,0.00630253367125988,0
ds,512,0.9005858898162842,0.005845576524734497,1
ds,512,0.8981022238731384,0.006376699078828096,2
ds,512,0.9045515656471252,0.008090649731457233,3
ds,512,0.9092350602149964,0.007439394015818834,4
ds,1024,0.8801373243331909,0.0055114226415753365,0
ds,1024,0.8739205598831177,0.004261618014425039,1
ds,1024,0.8809099197387695,0.00609178701415658,2
ds,1024,0.8835574388504028,0.0059485267847776396,3
ds,1024,0.8751413822174072,0.006642621476203203,4
ds,2048,0.8608547449111938,0.003990290220826864,0
ds,2048,0.8724205493927002,0.0019735705573111773,1
ds,2048,0.8683600425720215,0.003129348857328296,2
ds,2048,0.8676058053970337,0.005790400318801403,3
ds,2048,0.8523287773132324,0.002583760535344481,4
ds,4096,0.8621393442153931,0.002342258347198367,0
ds,4096,0.848012387752533,0.002968741348013282,1
ds,4096,0.8664531111717224,0.0019206159049645066,2
ds,4096,0.859808087348938,0.0034873774275183678,3
ds,4096,0.8480855822563171,0.002743641380220652,4
ds,8192,0.8645561337471008,0.002372516086325049,0
ds,8192,0.8651331067085266,0.0019535759929567575,1
ds,8192,0.8643282055854797,0.002130882814526558,2
ds,8192,0.8625622987747192,0.002390304347500205,3
ds,8192,0.8641313910484314,0.001995561644434929,4
mlp,1,5.8458757400512695,0.24505764245986936,0
mlp,1,5.853577613830566,0.2433513700962067,1
mlp,1,5.865236759185791,0.2529352903366089,2
mlp,1,5.863929748535156,0.23652666807174685,3
mlp,1,5.877123832702638,0.2443373799324036,4
mlp,2,4.1564364433288565,0.15486052632331848,0
mlp,2,4.125115871429443,0.15448249876499176,1
mlp,2,4.142106056213379,0.14685235917568207,2
mlp,2,4.1315107345581055,0.15099792182445526,3
mlp,2,4.138640403747559,0.15004949271678925,4
mlp,4,2.998647928237915,0.09599736332893373,0
mlp,4,2.9997706413269043,0.09896084666252136,1
mlp,4,2.9967408180236816,0.0953427627682686,2
mlp,4,2.9940805435180664,0.0972955971956253,3
mlp,4,2.9827661514282227,0.09699960052967073,4
mlp,8,2.1389937400817867,0.0669875293970108,0
mlp,8,2.1271896362304688,0.06299322098493576,1
mlp,8,2.13382339477539,0.06583541631698607,2
mlp,8,2.118293285369873,0.05831486359238625,3
mlp,8,2.118773937225342,0.06154906749725344,4
mlp,16,1.4565989971160889,0.03512908145785332,0
mlp,16,1.4282146692276,0.03481816127896309,1
mlp,16,1.4558501243591309,0.03743250668048858,2
mlp,16,1.4728337526321411,0.03931673616170883,3
mlp,16,1.4828040599822998,0.042948905378580086,4
mlp,32,0.986813485622406,0.023186031728982925,0
mlp,32,0.986570119857788,0.027866851538419724,1
mlp,32,0.9534317255020142,0.02702111750841141,2
mlp,32,0.9601452350616456,0.024590471759438515,3
mlp,32,0.9526441693305968,0.031977031379938126,4
mlp,64,0.8331553936004639,0.022678175941109657,0
mlp,64,0.8505746126174927,0.01478788536041975,1
mlp,64,0.8561229705810547,0.020755432546138763,2
mlp,64,0.8678721189498901,0.018152177333831787,3
mlp,64,0.8805546760559082,0.028003433719277385,4
mlp,128,0.7235488891601562,0.012790236622095108,0
mlp,128,0.6737411022186279,0.011960065923631193,1
mlp,128,0.6818883419036865,0.011821419931948185,2
mlp,128,0.5474655628204346,0.016458142548799515,3
mlp,128,0.5821008086204529,0.0165453739464283,4
mlp,256,0.6664392352104187,0.014786361716687681,0
mlp,256,0.00017178404959850013,0.0003129778488073498,1
mlp,256,0.00021480725263245404,0.00028000082238577306,2
mlp,256,0.00010713463416323066,0.0002917551319114864,3
mlp,256,0.6634042263031006,0.005146855022758246,4
mlp,512,0.00010423350613564251,0.00018931558588519687,0
mlp,512,-9.3495225883089e-05,0.00020686986681539563,1
mlp,512,-2.072737697744742e-05,0.00026669108774513006,2
mlp,512,0.00013485222007147968,0.00029486115090548987,3
mlp,512,0.0001774784759618342,0.00040619506035000086,4
mlp,1024,0.627238392829895,0.010483339428901672,0
mlp,1024,0.6621991991996765,0.005021225661039352,1
mlp,1024,3.921837560483255e-05,0.00015442934818565845,2
mlp,1024,2.453103843436111e-05,0.00012533976405393332,3
mlp,1024,8.907105802791193e-05,0.00018656883912626654,4
mlp,2048,0.00012122794578317551,7.567215652670709e-05,0
mlp,2048,0.00013428277452476323,0.0001325332559645176,1
mlp,2048,8.376731784665027e-06,0.00013824348570778966,2
mlp,2048,0.4717739224433899,0.011773806065320969,3
mlp,2048,-7.680799171794206e-05,9.636371396481992e-05,4
mlp,4096,-8.511833584634587e-06,0.00010018601460615172,0
mlp,4096,8.115261152852327e-05,8.198319846997039e-05,1
mlp,4096,4.2338346247561276e-05,8.878490189090371e-05,2
mlp,4096,0.00010469043627381325,9.547460649628192e-05,3
mlp,4096,7.873832510085776e-05,9.121085167862475e-05,4
mlp,8192,8.887442527338862e-05,6.094737909734249e-05,0
mlp,8192,6.13555166637525e-05,6.060420855646953e-05,1
mlp,8192,6.834761006757617e-05,5.101688293507323e-05,2
mlp,8192,5.494640208780766e-05,7.520800136262551e-05,3
mlp,8192,9.706679702503608e-05,6.847772601759061e-05,4
